Title,Cook Time,ServingSize,Ingredients,Cooking Instructions,Image Link,Nutrition Label,Host Link
Curried Stew with Lamb,180,8 serving(s),"['1 cup yogurt', '1 tablespoon minced garlic', '2 pounds lamb sirloin, cut into cubes', '2 cups water', '1 cup uncooked rice', '1 tablespoon vegetable oil', '1 large onion, grated', '½ teaspoon ground cloves', '½ teaspoon ground ginger', '½ teaspoon ground cumin', '¾ teaspoon ground cayenne pepper', '3 tablespoons curry powder', '⅔ cup slivered almonds, toasted', '1 cup currants', '8 cups vegetable broth']","['Step 1: In a medium bowl, combine yogurt and garlic.\n', 'Step 2: Stir in the lamb cubes until coated.\n', 'Step 3: Cover, and refrigerate overnight.\n', 'Step 4: In a saucepan bring water to a boil.\n', 'Step 5: Add rice and stir.\n', 'Step 6: Reduce heat, cover and simmer for 20 minutes.\n', 'Step 7: Remove from heat, and set aside.\n', 'Step 8: Heat oil in a large skillet over medium high heat.\n', 'Step 9: Saute onions until tender.\n', 'Step 10: Stir in marinated lamb mixture.\n', 'Step 11: Season with cloves, ginger, cumin, cayenne and curry powder.\n', 'Step 12: Stir in raisins, reduce heat, and simmer for 2 hours.\n', 'Step 13: Stir in cooked rice and vegetable stock.\n', 'Step 14: return to a simmer, and cook 5 more minutes.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4568281.jpg,"{'calories': '622.9 calories', 'carbohydrateContent': '44.7 g', 'cholesterolContent': '85.8 mg', 'fatContent': '38.1 g', 'fiberContent': '4.8 g', 'proteinContent': '26.1 g', 'saturatedFatContent': '14.4 g', 'sodiumContent': '550.3 mg', 'sugarContent': '18.7 g'}",allrecipes.com
Spinach and Halloumi Gozleme,100,4 serving(s),"['11 ounces Greek yogurt', '1 pinch salt', '3 cups self-rising flour', '1 drizzle extra-virgin olive oil', '¾ (10 ounce) package frozen chopped spinach, thawed and drained', '1 clove garlic, minced', 'salt and ground black pepper to taste', '9 ounces grated halloumi cheese', '2 medium scallions, finely chopped', '½ teaspoon Italian seasoning', '1 tablespoon salted butter, melted', '1 tablespoon extra-virgin olive oil', '1 medium lemon, cut into wedges']","['Step 1: Place yogurt in a large bowl and stir in salt.\n', 'Step 2: Gradually add flour, a few tablespoons at a time, until you have a stiff dough.\n', 'Step 3: Turn dough out onto a floured work surface and knead with your hands until soft and slightly tacky.\n', 'Step 4: Place the dough in a lightly floured bowl, cover with a clean tea towel, and allow to stand for at least 30 minutes.\n', 'Step 5: Meanwhile, warm a frying pan over medium heat.\n', 'Step 6: Add a drizzle of oil, then add spinach, garlic, salt, and pepper.\n', 'Step 7: Cook and stir, about 5 minutes.\n', 'Step 8: Take off of the heat and allow to cool, about 10 minutes.\n', 'Step 9: Stir in halloumi, scallions, and Italian seasoning.\n', 'Step 10: Divide the dough into 4 equal balls.\n', 'Step 11: Roll out each ball into a 10- to 12-inch circle on a floured surface.\n', 'Step 12: Place some spinach filling on one side of each circle and fold the dough over.\n', 'Step 13: Seal the edges with a fork.\n', 'Step 14: Heat a large frying pan over medium-low heat.\n', 'Step 15: Combine melted butter and 1 tablespoon oil in a bowl, and brush onto both sides of the gozleme.\n', 'Step 16: Cook each gozleme in the hot pan until golden, 3 to 5 minutes per side.\n', 'Step 17: Cut each gozleme into 4 slices and finish with several squeezes of lemon juice.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '724.2 calories', 'carbohydrateContent': '80.1 g', 'cholesterolContent': '73 mg', 'fatContent': '32.6 g', 'fiberContent': '5.5 g', 'proteinContent': '30 g', 'saturatedFatContent': '16.1 g', 'sodiumContent': '2043.7 mg', 'sugarContent': '3.9 g'}",allrecipes.com
"Lamb, Carrot, and White Bean Curry Stew",60,6 serving(s),"['1 pound ground lamb', '1 onion, grated', '1 egg', '3 tablespoons minced fresh dill', '¼ cup minced fresh cilantro', '2 teaspoons coarse salt', '1 tablespoon ground cumin', '½ teaspoon ground turmeric', '¼ teaspoon ground cinnamon', '1 teaspoon ground black pepper', '¼ cup olive oil', '1 (8 ounce) package baby carrots', '2 (15.5 ounce) cans cannellini beans', '1 cup water', '1 tablespoon sour cream']","['Step 1: Mix together the ground lamb, onion, egg, dill, cilantro, salt, cumin, turmeric, cinnamon, and pepper in a bowl until evenly incorporated.\n', 'Step 2: Heat the olive oil in a skillet over medium-high heat.\n', 'Step 3: Crumble the lamb mixture into the skillet and cook until no longer pink, 5 to 10 minutes.\n', 'Step 4: Add the carrots to the mixture; reduce heat to medium.\n', 'Step 5: Pour in the contents of the 2 cans of beans and the water; stir.\n', 'Step 6: Simmer mixture 25 minutes.\n', 'Step 7: Stir the sour cream through the mixture; cook until the liquid thickens, 5 to 10 minutes.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '457 calories', 'carbohydrateContent': '27.9 g', 'cholesterolContent': '105.5 mg', 'fatContent': '26.1 g', 'fiberContent': '7.7 g', 'proteinContent': '26.4 g', 'saturatedFatContent': '8 g', 'sodiumContent': '1185.8 mg', 'sugarContent': '3.5 g'}",allrecipes.com
Strudel Roll Cookies,0,3 serving(s),"['3 cups all-purpose flour', '7 tablespoons butter', '⅞ cup sour cream', '¼ teaspoon salt', '5 tablespoons any flavor fruit jam', '⅝ cup raisins', '1 ⅛ cups flaked coconut', '¾ cup chopped walnuts', '1 cup sesame seeds', ""⅓ cup confectioners' sugar for decoration""]","['Step 1: In a large bowl, combine the flour, salt, butter or margarine, and sour cream into a soft dough.\n', 'Step 2: Chill one hour.\n', 'Step 3: To Make Filling: Combine the raisins, coconut, chopped nuts, and sesame seeds.\n', 'Step 4: Roll out one third of the dough to a thin sheet.\n', 'Step 5: Spread with one third of the jam.\n', 'Step 6: Sprinkle one third of the filling on the jam.\n', 'Step 7: Roll into a log jellyroll-fashion.\n', 'Step 8: Repeat two more times.\n', 'Step 9: Cut rolls into 1 - 2 inch cookies and place on greased cookie sheets.\n', 'Step 10: Place cookies on a greased cookie sheet.\n', 'Step 11: Bake at 350 degrees F (175 degrees C) for 15 to 20 minutes.\n', ""Step 12: Sprinkle with confectioners' sugar while still warm.\n""]",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '277.2 calories', 'carbohydrateContent': '31.3 g', 'cholesterolContent': '16.8 mg', 'fatContent': '15.5 g', 'fiberContent': '2.5 g', 'proteinContent': '5 g', 'saturatedFatContent': '6.4 g', 'sodiumContent': '86.9 mg', 'sugarContent': '9.8 g'}",allrecipes.com
Spicy Beef Stew with Moroccan Spice Rub,140,4 serving(s),"['1 pound beef stew meat, cut into 2-inch pieces', '1 tablespoon ras el hanout, or more to taste', '2 tablespoons olive oil', '1 leek, halved lengthwise and thinly sliced crosswise', '1 small onion, cut in half and thinly sliced', '2 cloves garlic, minced', '1 tomato, diced', '1 cup diced pumpkin', '2 tablespoons tomato paste, or more to taste', '1 cup rose wine', '2 cups beef stock', '2 sprigs fresh rosemary', '1 sprig fresh mint', '1 bay leaf', 'salt and ground black pepper to taste', '1 parsnip, halved lengthwise and thickly sliced', '1 carrot, halved lengthwise and thickly sliced', '2 teaspoons lemon juice, or to taste', '2 teaspoons white sugar, or to taste']","['Step 1: Place beef in a large bowl.\n', 'Step 2: Add ras el hanout and rub until beef is completely coated.\n', 'Step 3: Let sit for 15 minutes.\n', 'Step 4: Heat oil in a stew pot over high heat until shimmering.\n', ""Step 5: Add meat, making sure it's not overcrowded, and sear to seal in the juices, stirring occasionally, until browned on all sides, about 5 minutes.\n"", 'Step 6: Transfer meat to a plate.\n', 'Step 7: Reduce heat to medium and add leek and onion to the pot.\n', 'Step 8: Saute until leeks turn golden and translucent, 3 to 4 minutes.\n', 'Step 9: Add garlic and cook until fragrant, about 1 minute.\n', 'Step 10: Add tomatoes and saute until they begin to soften, 2 to 3 minutes.\n', 'Step 11: Add cooked meat back to the pot, along with diced pumpkin and tomato paste.\n', 'Step 12: Cook and stir for 2 minutes.\n', 'Step 13: Pour wine into the pot and bring to a boil while scraping the browned bits off the bottom of the pan with a wooden spoon.\n', 'Step 14: Cook until wine reduces by half, 2 to 3 minutes.\n', 'Step 15: Add beef stock, rosemary, mint, bay leaf, salt, and pepper and return to a boil.\n', 'Step 16: Reduce heat, cover, and simmer for 40 minutes.\n', 'Step 17: Add parsnip and carrot, cover, and simmer until beef is tender, about 40 minutes longer.\n', 'Step 18: Taste sauce and add lemon juice and sugar, if needed.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F713184.jpg,"{'calories': '430 calories', 'carbohydrateContent': '24 g', 'cholesterolContent': '62.5 mg', 'fatContent': '23.2 g', 'fiberContent': '4.7 g', 'proteinContent': '23 g', 'saturatedFatContent': '7.3 g', 'sodiumContent': '218.1 mg', 'sugarContent': '10.1 g'}",allrecipes.com
Aunt Zaneb's Semolina Cake,60,1 serving(s),"['2 teaspoons tahini, divided', '3 cups semolina flour', '1 cup white sugar', '1 cup unsweetened shredded coconut', '¼ cup butter', '2 cups plain yogurt', '4 teaspoons baking powder', '¼ teaspoon baking soda', '2 ½ cups water', '2 cups white sugar']","['Step 1: Preheat oven to 400 degrees F (200 degrees C).\n', 'Step 2: Smooth 1 teaspoon of tahini over the bottom of an 8-inch baking pan.\n', 'Step 3: Mix semolina flour, 1 cup sugar, coconut, and butter together in a bowl.\n', 'Step 4: Mix yogurt, baking powder, and baking soda together in a bowl; stir until bubbly.\n', 'Step 5: Pour into the semolina mixture; combine batter well using your hands.\n', 'Step 6: Pour batter into the prepared pan; dab the remaining 1 teaspoon tahini on top.\n', 'Step 7: Bake in the preheated oven until cake is set, 30 to 35 minutes.\n', 'Step 8: Combine water and 2 cups sugar in a saucepan over high heat.\n', 'Step 9: Bring to a boil; stir to dissolve sugar.\n', 'Step 10: Remove from heat and allow to cool slightly.\n', 'Step 11: Pour 1/2 cup of syrup over the baked cake.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '308.1 calories', 'carbohydrateContent': '55.2 g', 'cholesterolContent': '12.6 mg', 'fatContent': '9.7 g', 'fiberContent': '1.3 g', 'proteinContent': '2.8 g', 'saturatedFatContent': '7.3 g', 'sodiumContent': '249.5 mg', 'sugarContent': '53.4 g'}",allrecipes.com
Fattet Betenjan (Eggplant and Yogurt Salad),105,8 serving(s),"['5 cups water, or as needed', '2 tablespoons salt', '3 medium eggplants, peeled and cut into 1/2-inch cubes', '4 (6 inch) pita bread rounds', '1 cup vegetable oil for frying, or as needed', '3 ¼ cups plain yogurt', '¼ cup mayonnaise', '½ medium lemon, juiced', '3 cloves garlic, minced, or more to taste', 'salt and ground black pepper to taste', '2 tablespoons oil', '¼ cup sliced almonds', '1 head romaine lettuce, thinly sliced', '1 (29 ounce) can chickpeas, drained']","['Step 1: Pour water and 2 tablespoons salt into a large bowl.\n', 'Step 2: Add cubed eggplant and let sit for 30 minutes.\n', 'Step 3: Drain and place on paper towel-lines plates until completely dry, about 30 more minutes.\n', 'Step 4: Preheat the oven to 350 degrees F (175 degrees C).\n', 'Step 5: Chop pita bread into 1-inch cubes and place on a baking sheet.\n', 'Step 6: Roast in the preheated oven, stirring occasionally, until golden, 8 to 10 minutes; do not burn.\n', 'Step 7: Remove from the oven and set aside.\n', 'Step 8: Heat 1/2 inch oil in a large saucepan over medium heat.\n', 'Step 9: Working in batches, fry eggplant until golden, about 6 minutes per batch.\n', 'Step 10: Remove to paper towel-lined plates to drain.\n', 'Step 11: Meanwhile, combine yogurt, mayonnaise, lemon juice, garlic, salt, and pepper in a large bowl.\n', 'Step 12: Cover and refrigerate until needed.\n', 'Step 13: Heat 2 tablespoons oil in a small frying pan.\n', 'Step 14: Add almonds and cook until fragrant, about 1 to 2 minutes.\n', 'Step 15: Continue to cook, stirring often, until nicely brown and toasted, 3 to 4 minutes longer.\n', 'Step 16: Remove from the heat.\n', 'Step 17: Place lettuce on a serving platter.\n', 'Step 18: Layer with eggplant, chickpeas, and roasted pita bread.\n', 'Step 19: Pour yogurt mixture over top and sprinkle with toasted almonds.\n', 'Step 20: Serve at room temperature or cold.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1133504.jpg,"{'calories': '434.9 calories', 'carbohydrateContent': '59.1 g', 'cholesterolContent': '8.6 mg', 'fatContent': '16.7 g', 'fiberContent': '13.5 g', 'proteinContent': '16 g', 'saturatedFatContent': '3.1 g', 'sodiumContent': '2306.9 mg', 'sugarContent': '12.8 g'}",allrecipes.com
Talamee,120,12 serving(s),"['1 teaspoon sugar', '4 cups lukewarm water', '1 (.25 ounce) envelope active dry yeast', '5 pounds all-purpose flour', '1 teaspoon vegetable oil', '2 tablespoons butter, melted']","['Step 1: Dissolve sugar in about 1 cup of the water.\n', 'Step 2: Sprinkle the yeast over the top.\n', 'Step 3: Let stand for about 10 minutes, until foamy.\n', 'Step 4: In a large bowl, mix together the yeast mixture, water, oil, and about half of the flour until well blended.\n', 'Step 5: Gradually mix in the rest of the flour until the dough is stiff enough to take out of the bowl.\n', 'Step 6: Knead on a floured surface until smooth and elastic, about 10 minutes.\n', 'Step 7: Place dough in a greased bowl, and cover with a cloth.\n', 'Step 8: allow to rise in a warm place until doubled in size.\n', 'Step 9: This will take 1 to 2 hours.\n', 'Step 10: Divide dough into sections about the size of a grapefruit.\n', 'Step 11: Form into smooth balls, cover with a cloth, and let rise again for about 30 minutes.\n', 'Step 12: On a lightly floured surface, flatten each ball to 1/2 inch thickness, pressing out with your fingers.\n', 'Step 13: Circles should be about 8 inches across.\n', 'Step 14: Place on an oiled baking sheet.\n', 'Step 15: Let rest for about 10 minutes, or while you preheat the oven .\n', 'Step 16: Preheat the oven to 450 degrees F (230 degrees C).\n', 'Step 17: Bake rounds until the top is lightly browned, 10 to 12 minutes.\n', 'Step 18: Remove from the oven, and brush with melted butter.\n', 'Step 19: Repeat with remaining bread.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8760347.jpg,"{'calories': '356 calories', 'carbohydrateContent': '72.5 g', 'cholesterolContent': '2.5 mg', 'fatContent': '2.1 g', 'fiberContent': '2.6 g', 'proteinContent': '9.9 g', 'saturatedFatContent': '0.8 g', 'sodiumContent': '10 mg', 'sugarContent': '0.4 g'}",allrecipes.com
Hummus II,10,5 item(s),"['2 cloves garlic', '2 (15 ounce) cans garbanzo beans, drained', '8 ounces tofu', '3 lemons, juiced', '¼ cup parsley', '¾ cup tahini', '1 teaspoon ground ginger', '1 pinch ground cayenne pepper', '1 tablespoon tamari', 'salt to taste', 'ground black pepper to taste']","['Step 1: Mince garlic in the large bowl of a food processor.\n', 'Step 2: Add garbanzo beans, tofu, lemon juice, parsley, and tahini; blend until smooth.\n', 'Step 3: Add ginger, cayenne pepper, and tamari; blend.\n', 'Step 4: Season to taste with salt and black pepper.\n', 'Step 5: Blend in water if hummus is too thick.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '52.3 calories', 'carbohydrateContent': '5 g', 'fatContent': '3.3 g', 'fiberContent': '1.5 g', 'proteinContent': '2.2 g', 'saturatedFatContent': '0.5 g', 'sodiumContent': '69 mg'}",allrecipes.com
Rose Scented Tapioca Pudding,145,4 serving(s),"['⅓ cup white sugar', '3 tablespoons quick-cooking tapioca', ""2 ¾ cups goat's milk"", '1 egg, beaten', '1 ½ teaspoons rose water']","[""Step 1: In a saucepan, stir together the sugar, tapioca, goat's milk, and egg.\n"", 'Step 2: Set aside for 5 minutes for the tapioca to soak.\n', 'Step 3: Place the saucepan over medium heat and bring the mixture to a boil, stirring constantly.\n', 'Step 4: Remove from heat and stir in the rose water.\n', 'Step 5: Ladle the pudding into 4 small individual dessert dishes.\n', 'Step 6: Cover each dish with a piece of plastic wrap, pushing the wrap down onto the surface of the pudding to prevent a skin from forming.\n', 'Step 7: Let the puddings cool slightly on the countertop, about 5 minutes.\n', 'Step 8: Chill in refrigerator for at least 2 hours before serving.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '218.7 calories', 'carbohydrateContent': '29.3 g', 'cholesterolContent': '65 mg', 'fatContent': '8.2 g', 'proteinContent': '7.6 g', 'saturatedFatContent': '4.9 g', 'sodiumContent': '101.6 mg', 'sugarContent': '24.2 g'}",allrecipes.com
