Title,Cook Time,ServingSize,Ingredients,Cooking Instructions,Image Link,Nutrition Label,Host Link
Roasted Okra,20,3 serving(s),"['18 fresh okra pods, sliced 1/3 inch thick', '1 tablespoon olive oil', '2 teaspoons kosher salt, or to taste', '2 teaspoons black pepper, or to taste']","['Step 1: Preheat an oven to 425 degrees F (220 degrees C).\n', 'Step 2: Arrange the okra slices in one layer on a foil lined cookie sheet.\n', 'Step 3: Drizzle with olive oil and sprinkle with salt and pepper.\n', 'Step 4: Bake in the preheated oven for 10 to 15 minutes.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2014%2F12%2F19%2F687536-Roasted-Okra-204478-CSteichen-2000.jpg,"{'calories': '65.4 calories', 'carbohydrateContent': '5.9 g', 'fatContent': '4.6 g', 'fiberContent': '2.7 g', 'proteinContent': '1.6 g', 'saturatedFatContent': '0.7 g', 'sodiumContent': '1286.4 mg', 'sugarContent': '0.9 g'}",allrecipes.com
Grilled Swordfish Tacos with Tomatillo-Mango Salsa,40,6 serving(s),"['2 semi-ripe mangoes, diced', '3 limes, juiced, divided', '1 orange, juiced', '4 tomatillos, peeled and diced, or more to taste', '1 small red onion, chopped', '1 jalapeno pepper, seeded and diced', '½ cup chopped fresh cilantro', 'salt to taste', 'freshly ground black pepper to taste', '6 (6 ounce) fillets boned, skinned swordfish', '1 tablespoon olive oil', 'salt and ground black pepper to taste']","['Step 1: Preheat grill for medium heat and lightly oil the grate.\n', 'Step 2: Place mango pieces in a bowl.\n', 'Step 3: Scoop out 1/4 of the pieces and place in a blender with the juice of 2 limes and orange juice.\n', 'Step 4: Blend until smooth.\n', 'Step 5: Place tomatillos, red onion, jalapeno pepper, and cilantro in the bowl with the diced mangoes.\n', 'Step 6: Sprinkle salsa with salt and freshly ground pepper.\n', 'Step 7: Pour the pureed mango mixture over the salsa and mix well.\n', 'Step 8: Lay swordfish on a plate and sprinkle with the remaining lime juice, olive oil, salt and black pepper.\n', 'Step 9: Place swordfish on the hot grill and cook until fish flakes easily with a fork, about 4 minutes per side.\n', 'Step 10: Spoon salsa over fish.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F677627.jpg,"{'calories': '292.8 calories', 'carbohydrateContent': '18.1 g', 'cholesterolContent': '65.6 mg', 'fatContent': '9.5 g', 'fiberContent': '3.4 g', 'proteinContent': '34.5 g', 'saturatedFatContent': '2.2 g', 'sodiumContent': '206.8 mg', 'sugarContent': '12.1 g'}",allrecipes.com
Ninfa's Green Tomato Salsa,25,5 item(s),"['3 green tomatoes, chopped', '4 fresh tomatillos - husked, rinsed, and chopped', '1 jalapeno pepper, chopped', '3 small garlic cloves', '3 avocados - peeled, pitted, and sliced', '4 sprigs cilantro', '1 teaspoon salt', '1 ½ cups sour cream']","['Step 1: Stir tomatoes, tomatillos, jalapeno pepper, and garlic together in a saucepan; bring to a boil, reduce heat to low, and cook at a simmer until the tomatoes and tomatillos soften, 10 to 15 minutes.\n', 'Step 2: Remove saucepan from heat and let tomato mixture cool slightly.\n', 'Step 3: Pour cooled tomato mixture into a blender pitcher; add avocado slices, cilantro, and salt.\n', 'Step 4: Blend the mixture until smooth; transfer to a bowl.\n', 'Step 5: Stir sour cream into the blended mixture until smooth.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4497526.jpg,"{'calories': '46.3 calories', 'carbohydrateContent': '2.4 g', 'cholesterolContent': '3.8 mg', 'fatContent': '4.1 g', 'fiberContent': '1.2 g', 'proteinContent': '0.7 g', 'saturatedFatContent': '1.5 g', 'sodiumContent': '65.2 mg', 'sugarContent': '0.6 g'}",allrecipes.com
Southwestern Salsa Creamed Corn,10,2 serving(s),"['1 cup frozen corn', '1 tablespoon salsa', '1 tablespoon crema con sal (salted Mexican-style sour cream)', '2 tablespoons shredded asadero cheese, or to taste', '1 teaspoon minced cilantro', '1 pinch ground black pepper']","['Step 1: Heat a skillet over medium-high heat.\n', 'Step 2: Add corn, salsa, and crema con sal.\n', 'Step 3: Cook until heated through, 3 to 4 minutes.\n', 'Step 4: Remove from heat.\n', 'Step 5: Sprinkle with cheese, cilantro, and black pepper.\n', 'Step 6: Serve immediately.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8497934.jpg,"{'calories': '130.7 calories', 'carbohydrateContent': '18.4 g', 'cholesterolContent': '18.9 mg', 'fatContent': '5.8 g', 'fiberContent': '2.2 g', 'proteinContent': '4.8 g', 'saturatedFatContent': '3.4 g', 'sodiumContent': '108.4 mg', 'sugarContent': '3.3 g'}",allrecipes.com
Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang),90,3 item(s),"['1 ½ cups uncooked short-grain white rice', '2 cups water', '1 ½ cups coconut milk', '1 cup white sugar', '½ teaspoon salt', '½ cup coconut milk', '1 tablespoon white sugar', '¼ teaspoon salt', '1 tablespoon tapioca starch', '3 mangos, peeled and sliced', '1 tablespoon toasted sesame seeds']","['Step 1: Combine the rice and water in a saucepan; bring to a boil; cover and reduce heat to low.\n', 'Step 2: Simmer until water is absorbed, 15 to 20 minutes.\n', 'Step 3: While the rice cooks, mix together 1 1/2 cups coconut milk, 1 cup sugar, and 1/2 teaspoon salt in a saucepan over medium heat; bring to a boil; remove from heat and set aside.\n', 'Step 4: Stir the cooked rice into the coconut milk mixture; cover.\n', 'Step 5: Allow to cool for 1 hour.\n', 'Step 6: Make a sauce by mixing together 1/2 cup coconut milk, 1 tablespoon sugar, 1/4 teaspoon salt, and the tapioca starch in a saucepan; bring to a boil.\n', 'Step 7: Place the sticky rice on a serving dish.\n', 'Step 8: Arrange the mangos on top of the rice.\n', 'Step 9: Pour the sauce over the mangos and rice.\n', 'Step 10: Sprinkle with sesame seeds.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4507196.jpg,"{'calories': '817.4 calories', 'carbohydrateContent': '144.3 g', 'fatContent': '26 g', 'fiberContent': '6.4 g', 'proteinContent': '8.4 g', 'saturatedFatContent': '21.7 g', 'sodiumContent': '458.4 mg', 'sugarContent': '76.4 g'}",allrecipes.com
Marion's Santa Fe Almond Slaw,20,6 serving(s),"['½ head cabbage, coarsely chopped', '4 green onions, chopped', '½ cup finely chopped cilantro', '1 large tomato, diced', '½ cup sesame oil', '1 teaspoon coarsely ground black pepper', '⅓ teaspoon crumbled dried red chile pepper', '½ cup imitation bacon bits', '1 cup slivered almonds']","['Step 1: In a large bowl, mix the cabbage, green onions, cilantro, and tomato.\n', 'Step 2: In a skillet over medium heat, cook and stir the sesame oil, black pepper, and chili pepper until heated through.\n', 'Step 3: Mix in the bacon bits and almonds.\n', 'Step 4: Cook and stir about 5 minutes, until almonds are lightly browned.\n', 'Step 5: Remove from heat, and toss with the cabbage mixture.\n', 'Step 6: Serve immediately.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4429516.jpg,"{'calories': '377 calories', 'carbohydrateContent': '15.4 g', 'fatContent': '32.8 g', 'fiberContent': '7 g', 'proteinContent': '9.9 g', 'saturatedFatContent': '3.9 g', 'sodiumContent': '188.2 mg', 'sugarContent': '5.3 g'}",allrecipes.com
Quick Lotus Seed and Nut Snack,15,3 item(s),"['1 tablespoon ghee (clarified butter)', '⅓ cup cashews', '½ cup salted peanuts', '2 cups lotus seeds', 'salt and freshly ground black pepper']","['Step 1: Heat ghee in a skillet over medium heat and shallow-fry cashew nuts until fragrant and lightly toasted, 2 to 3 minutes.\n', 'Step 2: Remove from skillet and dry on paper towels.\n', 'Step 3: Add peanuts and fry in the same skillet until lightly toasted, 2 to 3 minutes.\n', 'Step 4: Add lotus seeds and fry over low heat until they are crisp and have absorbed all the ghee, about 3 minutes.\n', 'Step 5: Mix cashews, peanuts, and lotus seeds in a bowl and season with salt and pepper.\n', 'Step 6: Store in an airtight jar to stop them from getting soggy.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '253.4 calories', 'carbohydrateContent': '18 g', 'cholesterolContent': '8.2 mg', 'fatContent': '17.9 g', 'fiberContent': '1.8 g', 'proteinContent': '8.5 g', 'saturatedFatContent': '4.3 g', 'sodiumContent': '222.3 mg', 'sugarContent': '1.3 g'}",allrecipes.com
"Rosh Hashanah Pilaf with Beets, Chard, and Beef from Iraqi Kurdistan",170,6 serving(s),"['¾ cup basmati rice', '4 ounces beets, peeled and shredded', '5 cloves garlic, diced', '4 teaspoons white sugar, divided', '1 large lemon, juiced', '1 teaspoon dried dill', '1 teaspoon dried tarragon', '1 ½ teaspoons kosher salt, divided', '1 tablespoon vegetable oil', '1 pound 85% lean ground beef', '1 large onion, diced', '1 cup water', '4 ounces beets, peeled and cut into 1/2-inch cubes', '2 large bunches chard leaves, stems removed']","['Step 1: Wash rice repeatedly in a large bowl of water until the water runs clear.\n', 'Step 2: Cover rice with fresh water and soak for 1 hour.\n', 'Step 3: Drain rice and mix with shredded beets, garlic, 2 teaspoons sugar, 1/2 of the lemon juice, dill, tarragon, and 3/4 teaspoon kosher salt.\n', 'Step 4: Heat oil in a 6-quart stock pot over medium heat.\n', 'Step 5: Add beef and remaining salt.\n', 'Step 6: Cook and stir until beef is browned, 5 to 10 minutes.\n', 'Step 7: Remove browned beef from the pot with a slotted spoon, leaving the oil behind.\n', 'Step 8: Add onion; cook and stir until browned, 5 to 10 minutes.\n', 'Step 9: Add cubed beets and saute for another 5 minutes.\n', 'Step 10: Remove onion and beets from the pot and mix with the beef.\n', 'Step 11: Combine water, remaining lemon juice, and remaining sugar in a bowl to create sweet and sour water.\n', 'Step 12: Place 1 layer of chard leaves on the bottom of the pot.\n', 'Step 13: Add 1/2 of the rice mixture, followed by a second layer of chard leaves.\n', 'Step 14: Add 1/2 of the beef mixture, followed by a layer of chard leaves, and the remaining rice mixture.\n', 'Step 15: Add another layer of chard leaves, the remaining beef mixture, and a final topping of chard leaves.\n', 'Step 16: Pierce the chard leaf layers with a long and thin knife all the way to the bottom a few times so steam can escape.\n', 'Step 17: Pour the sweet and sour water over the top.\n', 'Step 18: Bring the pilaf to a gentle simmer over medium heat.\n', 'Step 19: Turn the heat to very low, cover, and cook for 30 minutes.\n', 'Step 20: Remove from heat and allow to rest for 15 minutes before serving.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5336180.jpg,"{'calories': '310.5 calories', 'carbohydrateContent': '33.6 g', 'cholesterolContent': '49.6 mg', 'fatContent': '12.1 g', 'fiberContent': '4.1 g', 'proteinContent': '19.2 g', 'saturatedFatContent': '4.1 g', 'sodiumContent': '753.8 mg', 'sugarContent': '7.5 g'}",allrecipes.com
Jesse's Hot Sauce,95,24 serving(s),"['1 pound bacon, diced', '1 red onion, diced', '1 tablespoon minced garlic', '1 bunch green onions, sliced', '2 green bell peppers, chopped', '2 yellow bell peppers chopped', '8 jalapeno or serrano peppers, chopped', '2 poblano peppers, chopped', '½ cup sliced mushrooms', '8 roma tomatoes, diced', '2 (10 ounce) cans diced tomatoes with green chile peppers, drained', '1 teaspoon lime juice', '¾ cup chopped cilantro', '2 teaspoons salt', '2 teaspoons black pepper']","[""Step 1: Cook bacon in a large skillet over medium heat until it releases it's oil and begins to crisp.\n"", 'Step 2: Strain out bacon, and pour off all but 1 tablespoon of bacon grease.\n', 'Step 3: Stir in the red onion, garlic, green onions, green bell peppers, yellow bell peppers, jalapeno peppers, poblano peppers, mushrooms, and roma tomatoes.\n', 'Step 4: Pour in the canned tomatoes and lime juice.\n', 'Step 5: Season with cilantro, salt, and black pepper.\n', 'Step 6: Bring to a boil, and then reduce heat to medium-low; simmer until the sauce reaches desired consistency.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4884269.jpg,"{'calories': '107.5 calories', 'carbohydrateContent': '4.8 g', 'cholesterolContent': '12.9 mg', 'fatContent': '8.7 g', 'fiberContent': '1.4 g', 'proteinContent': '3.2 g', 'saturatedFatContent': '2.9 g', 'sodiumContent': '449.6 mg', 'sugarContent': '1.7 g'}",allrecipes.com
Kale Salad with Sugar-Coated Cashews,60,4 serving(s),"['½ cup cashews', '½ cup white sugar', '1 bunch kale, cut into thin ribbons', '5 tablespoons soy sauce', '½ cup raisins']","['Step 1: Preheat oven to 325 degrees F (165 degrees C).\n', 'Step 2: Spread cashews onto a baking sheet.\n', 'Step 3: Toast cashews in preheated oven until browned, about 5 minutes.\n', 'Step 4: Pour sugar in a small saucepan over medium heat while the cashews are toasting; cook and stir until melted.\n', 'Step 5: As soon as it is melted and the nuts are done toasting, pour the nuts in the saucepan; stir to coat.\n', 'Step 6: Spread cashews onto baking sheet to cool completely, about 15 minutes.\n', 'Step 7: Massage kale and soy sauce together in a bowl until kale softens.\n', 'Step 8: Fold raisins and sugar-coated cashews into the kale.\n', 'Step 9: Refrigerate 30 minutes before serving.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1976036.jpg,"{'calories': '323.3 calories', 'carbohydrateContent': '59.7 g', 'fatContent': '8.8 g', 'fiberContent': '3.7 g', 'proteinContent': '8.2 g', 'saturatedFatContent': '1.7 g', 'sodiumContent': '1287.4 mg', 'sugarContent': '38.4 g'}",allrecipes.com
