Title,Cook Time,ServingSize,Ingredients,Cooking Instructions,Image Link,Nutrition Label,Host Link
Sheet Pan Ratatouille,57.0,4 serving(s),"['1 large eggplant, cut into 1/2-inch cubes', '2 zucchinis, cut into 1/2-inch slices', '2 heirloom tomatoes, cut in wedges', '1 white onion, cut into 1/2-inch-thick rounds', '1 red bell pepper, cut into 1/2-inch strips', '4 cloves garlic', '2 tablespoons olive oil', '2 tablespoons chopped fresh rosemary', '1 teaspoon salt', '½ teaspoon ground black pepper', '1 tablespoon balsamic vinegar']","['Step 1: Preheat oven to 400 degrees F (200 degrees C).\n', 'Step 2: Line a baking sheet with parchment paper.\n', 'Step 3: Place eggplant, zucchinis, tomatoes, onion, bell pepper, and garlic in a single layer on the prepared baking sheet.\n', 'Step 4: Drizzle with olive oil, rosemary, salt, and pepper; toss vegetables until well coated.\n', 'Step 5: Roast in the preheated oven until slightly tender; about 20 minutes.\n', 'Step 6: Mix and roast for another 12 minutes.\n', 'Step 7: Reduce heat to 300 degrees F (150 degrees C) and cook until vegetables begin to caramelize; about 10 minutes.\n', 'Step 8: Drizzle with balsamic vinegar.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5286586.jpg,"{'calories': '163.9 calories', 'carbohydrateContent': '23.6 g', 'fatContent': '7.6 g', 'fiberContent': '9.1 g', 'proteinContent': '4.3 g', 'saturatedFatContent': '1.1 g', 'sodiumContent': '599.8 mg', 'sugarContent': '11.1 g'}",allrecipes.com
Easy and Delicious Slow Cooker Cassoulet,285.0,6 serving(s),"['1 tablespoon olive oil', '6 slices turkey bacon', '1 large onion, finely chopped', '4 boneless, skinless chicken thighs, chopped', '¼ pound fully-cooked smoked sausage, diced', '3 cloves garlic, minced', '1 teaspoon dried thyme leaves', '2 bay leaves', '½ teaspoon ground black pepper', '¼ cup tomato paste', '3 (15 ounce) cans great Northern beans, drained and rinsed', '1 (14.5 ounce) can diced tomatoes, drained', '3 tablespoons minced fresh parsley']","['Step 1: Heat olive oil in a large skillet over medium heat and cook bacon until crisp and brown, turning often, about 10 minutes.\n', 'Step 2: Remove bacon and drain on paper towels; crumble when cool.\n', 'Step 3: Set bacon aside.\n', 'Step 4: Cook and stir onion in the same skillet until translucent, about 5 minutes.\n', 'Step 5: Stir in chicken, sausage, garlic, thyme, bay leaves, and black pepper; cook until chicken pieces are browned, 5 to 8 minutes.\n', 'Step 6: Stir in tomato paste.\n', 'Step 7: Transfer chicken mixture to a slow cooker and stir in crumbled turkey bacon, great Northern beans, and diced tomatoes.\n', 'Step 8: Cover the cooker, set on Low, and cook until cassoulet is thickened and the chicken is very tender, 4 to 5 hours.\n', 'Step 9: Sprinkle with parsley before serving.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F886040.jpg,"{'calories': '521.9 calories', 'carbohydrateContent': '52.9 g', 'cholesterolContent': '68.4 mg', 'fatContent': '18.9 g', 'fiberContent': '12.1 g', 'proteinContent': '35.5 g', 'saturatedFatContent': '5.4 g', 'sodiumContent': '641.2 mg', 'sugarContent': '4.7 g'}",allrecipes.com
Duck Rillettes,726.0,3 item(s),"['1 ½ tablespoons kosher salt', '2 teaspoons ground black pepper, or more to taste', '2 teaspoons dried thyme', '12 cloves garlic', '6 (1/4 inch thick) slices fresh ginger', '1 orange, zest cut into thin strips', '1 bunch fresh thyme, plus more for garnish', '3 bay leaves', '1 whole duck', '2 tablespoons unsalted butter, softened', '1 tablespoon brandy (such as Armagnac)', '2 teaspoons chopped fresh parsley', '1 teaspoon chopped fresh chives', '½ teaspoon Dijon mustard', '1 pinch cayenne pepper', 'salt and ground black pepper to taste', '½ teaspoon grated orange zest']","['Step 1: Preheat oven to 250 degrees F (120 degrees C).\n', 'Step 2: Line a 9x13 baking dish with 2 pieces of aluminum foil.\n', 'Step 3: Stir kosher salt, 2 teaspoons black pepper, and dried thyme together in a bowl.\n', 'Step 4: Mix garlic, ginger, orange zest strips, fresh thyme, and bay leaves together in another bowl.\n', 'Step 5: Season duck all over, inside and out, with about 2/3 of the kosher salt mixture.\n', 'Step 6: Fill duck cavity with garlic mixture.\n', 'Step 7: Place duck, breast-side up, into prepared baking dish and season with remaining salt mixture.\n', 'Step 8: Wrap duck tightly in aluminum foil.\n', 'Step 9: Roast in the preheated oven until meat pulls away from the bones, 5 to 6 hours.\n', 'Step 10: Cool duck with its accumulated juices, wrapped in aluminum foil, to room temperature.\n', 'Step 11: Chill in the refrigerator for 12 hours or overnight.\n', 'Step 12: Pick meat from bones and place in a bowl.\n', 'Step 13: Spoon all accumulated juices in the foil into a saucepan and place over medium-high heat.\n', 'Step 14: Cook until hot throughout; strain through a fine-mesh strainer into a bowl.\n', 'Step 15: Let fat and stock separate; transfer fat from the top to another bowl.\n', 'Step 16: Mash duck meat, 3 tablespoons duck fat, 2 tablespoons duck stock, butter, brandy, parsley, chives, Dijon mustard, cayenne pepper, salt, and ground black pepper together in a bowl with a wooden spoon; transfer to a sealable container, press down, and drizzle a little duck fat over the top.\n', 'Step 17: Sprinkle thyme leaves, black pepper, and orange zest over the top.\n', 'Step 18: Seal the container and refrigerate for the flavors to blend, 1 to 3 days.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5503950.jpg,"{'calories': '460.1 calories', 'carbohydrateContent': '9.5 g', 'cholesterolContent': '83.7 mg', 'fatContent': '40.9 g', 'fiberContent': '2.7 g', 'proteinContent': '11.3 g', 'saturatedFatContent': '16 g', 'sodiumContent': '3011.2 mg', 'sugarContent': '0.2 g'}",allrecipes.com
Chicken Divan Casserole,107.0,8 serving(s),"['2 skinless, boneless chicken breast halves', '4 cups broccoli florets, or to taste', '3 tablespoons butter', '1 small onion, chopped', '1 ½ teaspoons minced garlic', '½ teaspoon garlic salt', '⅛ teaspoon dried parsley', 'salt and ground black pepper to taste', '3 cups cauliflower florets', '1 cup chicken broth', '1 cup heavy whipping cream', '1 teaspoon lemon juice', '½ cup mayonnaise', '2 cups shredded Cheddar cheese']","['Step 1: Place chicken breasts into a large pot and cover with water; bring to a boil.\n', 'Step 2: Cook until chicken is no longer pink in the center and the juices run clear, about 10 minutes.\n', 'Step 3: An instant-read thermometer inserted into the center of a breast should read at least 165 degrees F (74 degrees C).\n', 'Step 4: Remove chicken from the water.\n', 'Step 5: Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer.\n', 'Step 6: Bring water to a boil.\n', 'Step 7: Add broccoli, cover, and steam until tender, 3 to 6 minutes.\n', 'Step 8: Chop broccoli.\n', 'Step 9: Preheat oven to 350 degrees F (175 degrees C).\n', 'Step 10: Melt butter in a deep saucepan over low heat.\n', 'Step 11: Add onion and garlic; cook and stir until onion is clear and tender, 8 to 12 minutes.\n', 'Step 12: Add garlic salt, parsley, salt, and pepper.\n', 'Step 13: Pulse cauliflower in a blender or food processor until it resembles rice.\n', 'Step 14: Add cauliflower and chicken broth to the onion mixture; cook and stir until broth is nicely absorbed, about 10 minutes.\n', 'Step 15: Add heavy cream and lemon juice.\n', 'Step 16: Let simmer, uncovered, stirring occasionally, until well combined, about 10 minutes.\n', 'Step 17: Stir in mayonnaise and remove from heat.\n', 'Step 18: Let sauce cool until thickened.\n', 'Step 19: Pull chicken apart with 2 forks into bite-size pieces.\n', 'Step 20: Add 1/2 the pulled chicken to the sauce.\n', 'Step 21: Line the bottom of a casserole dish with the rest of the pulled chicken.\n', 'Step 22: Lay steamed broccoli on top; pour the cauliflower sauce over the broccoli.\n', 'Step 23: Top with Cheddar cheese.\n', 'Step 24: Cover with aluminum foil.\n', 'Step 25: Bake in the preheated oven for 30 minutes.\n', 'Step 26: Remove foil and bake until cheese at the edges is slightly browned, about 10 minutes more.\n', 'Step 27: Let casserole cool for 5 to 10 minutes; slice into 6 even portions.\n']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4588683.jpg,"{'calories': '417.2 calories', 'carbohydrateContent': '7.8 g', 'cholesterolContent': '104.6 mg', 'fatContent': '36.6 g', 'fiberContent': '2.2 g', 'proteinContent': '16.2 g', 'saturatedFatContent': '17.4 g', 'sodiumContent': '614.5 mg', 'sugarContent': '2.5 g'}",allrecipes.com
Bordeaux Caneles,120.0,25 serving(s),"['4 ¼ cups whole milk', '3 vanilla bean pods, split lengthwise', '4 eggs', '4 egg yolks', ""1 (16 ounce) package confectioners' sugar"", '7 ounces all-purpose flour', '2 teaspoons dark rum', '3 ½ ounces butter, softened']","['Step 1: Combine milk and vanilla beans in a saucepan; bring to a boil.\n', 'Step 2: Remove from heat and let cool to lukewarm, about 10 minutes.\n', 'Step 3: Beat eggs and egg yolks together in a large bowl.\n', ""Step 4: Gently stir in confectioners' sugar, flour, and rum.\n"", 'Step 5: Pour in warm milk mixture, discarding vanilla beans; gently stir until smooth.\n', 'Step 6: Cover bowl with plastic wrap and let batter rest in the refrigerator for 24 hours.\n', 'Step 7: Coat fluted molds with butter and freeze until coating is set, about 10 minutes.\n', 'Step 8: Preheat oven to 400 degrees F (200 degrees C).\n', 'Step 9: Remove batter from the refrigerator, uncover, and pour into molds, filling each about 3/4 full.\n', 'Step 10: Bake in the preheated oven until deep brown in color, about 50 minutes.\n', 'Step 11: Remove from oven and immediately invert each canele on a wire rack to cool, 30 minutes to 1 hour.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '178.6 calories', 'carbohydrateContent': '27.5 g', 'cholesterolContent': '75.1 mg', 'fatContent': '6.1 g', 'fiberContent': '0.2 g', 'proteinContent': '3.6 g', 'saturatedFatContent': '3.3 g', 'sodiumContent': '52 mg', 'sugarContent': '21.2 g'}",allrecipes.com
Choco-Coco Cupcakes,120.0,2 serving(s),"['2 ⅓ cups all-purpose flour', '1 ½ tablespoons all-purpose flour', '1 ½ cups white sugar', '1 ½ tablespoons white sugar', '1 teaspoon baking powder', '1 teaspoon salt', '1 cup vegetable oil', '3 eggs, beaten', '⅓ cup coconut milk', '1 ⅓ cups dried shredded coconut', '1 teaspoon vanilla extract', '6 ¼ ounces 85% dark chocolate, chopped', '1 cup heavy whipping cream']","['Step 1: Preheat oven to 350 degrees F (175 degrees C).\n', 'Step 2: Line a muffin tin with paper liners.\n', 'Step 3: Combine 2 1/3 cups plus 1 1/2 tablespoon flour, 1 1/2 cup plus 1 1/2 tablespoon white sugar, baking powder, and salt together in a large bowl.\n', 'Step 4: Mix vegetable oil, eggs, and coconut milk together in another bowl.\n', 'Step 5: Pour over flour mixture; stir well to combine.\n', 'Step 6: Fold shredded coconut and vanilla extract into batter.\n', 'Step 7: Spoon batter into prepared muffin tin, filling each liner 2/3 of the way.\n', 'Step 8: Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 25 minutes.\n', 'Step 9: Remove from oven and transfer to a wire rack until cooled completely.\n', 'Step 10: Place chopped chocolate in a bowl.\n', 'Step 11: Heat cream in a small saucepan over medium heat until edges are bubbling, about 5 minutes.\n', 'Step 12: Pour over chocolate in the bowl.\n', 'Step 13: Mix until ganache is smooth and shiny.\n', 'Step 14: Chill until firm, about 1 hour.\n', 'Step 15: Remove ganache from the refrigerator.\n', 'Step 16: Beat with an electric mixer on medium speed until fluffy and slightly lightened in color, 3 to 5 minutes.\n', 'Step 17: Transfer to a piping bag fitted with a round tip.\n', 'Step 18: Frost cooled cupcakes with whipped ganache.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '301 calories', 'carbohydrateContent': '29 g', 'cholesterolContent': '37.2 mg', 'fatContent': '19.9 g', 'fiberContent': '1.7 g', 'proteinContent': '3.1 g', 'saturatedFatContent': '7.8 g', 'sodiumContent': '132.8 mg', 'sugarContent': '17.3 g'}",allrecipes.com
Deconstructed French Onion Soup Tartlet,40.0,4 serving(s),"['2 tablespoons olive oil', '2 tablespoons butter', '1 large white onion, sliced', '1 clove garlic, minced', '¼ cup white wine', '½ cup beef broth', '1 teaspoon dried thyme', '½ teaspoon kosher salt (such as Diamond Crystal®)', '¼ teaspoon ground black pepper', '1 sheet puff pastry', '½ cup grated Parmesan cheese', '1 cup shredded mozzarella cheese']","['Step 1: Preheat oven to 400 degrees F (200 degrees C).\n', 'Step 2: Heat olive oil and butter together in a skillet over medium-high heat until the butter is melted, 2 to 3 minutes.\n', 'Step 3: Saute onion and garlic in the hot oil mixture until the onion begins to caramelize, 15 to 20 minutes.\n', 'Step 4: Pour white wine over the onion mixture; bring to a simmer and cook until fragrant, about 2 minutes.\n', 'Step 5: Add beef broth and thyme; cook until the liquid reduces in volume by half.\n', 'Step 6: Season the mixture with kosher salt and black pepper.\n', 'Step 7: Trim puff pastry and fit into a tart pan.\n', 'Step 8: Score a rim along the edge of the pastry.\n', 'Step 9: Puncture the center of the pastry with a fork.\n', 'Step 10: Spread the onion mixture over the pastry; top with Parmesan cheese and mozzarella cheese.\n', 'Step 11: Bake in preheated oven until the crust is golden brown, 15 to 20 minutes.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '589.8 calories', 'carbohydrateContent': '32.8 g', 'cholesterolContent': '42.1 mg', 'fatContent': '43 g', 'fiberContent': '1.7 g', 'proteinContent': '16 g', 'saturatedFatContent': '15 g', 'sodiumContent': '860.1 mg', 'sugarContent': '2.6 g'}",allrecipes.com
Poached Pears (Poires Pochees),35.0,4 serving(s),"['2 cups water', '2 tablespoons lemon juice', '4 pears', '2 cups red wine', '2 cups white sugar', '1 teaspoon vanilla extract', '1 teaspoon ground cinnamon', '1 star anise']","['Step 1: Bring water to a boil in a saucepan.\n', 'Step 2: Add lemon juice and pears and let sit for 2 minutes.\n', 'Step 3: Remove pears from the hot water 1 at a time and carefully peel, leaving stem intact.\n', 'Step 4: Combine wine, sugar, vanilla extract, cinnamon, and star anise in a medium-sized saucepan and bring to a boil.\n', 'Step 5: Reduce heat to a simmer.\n', 'Step 6: Rinse pears and add to the boiling wine mixture.\n', 'Step 7: Use a plate on top of pears to keep them submerged.\n', 'Step 8: Simmer until a knife very easily pierces the pears, 10 to 15 minutes.\n', 'Step 9: Remove saucepan from heat and allow pears to cool in the wine mixture.\n', 'Step 10: Serve pears in a bowl, either whole or sliced and cored.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '589.9 calories', 'carbohydrateContent': '130 g', 'fatContent': '0.2 g', 'fiberContent': '5.5 g', 'proteinContent': '0.8 g', 'sodiumContent': '10.2 mg', 'sugarContent': '117.2 g'}",allrecipes.com
French Molten Chocolate Cake,65.0,4 serving(s),"['5 tablespoons butter', '1 (3.5 ounce) package dark chocolate, chopped', '2 each eggs', '1 egg yolk', '3 tablespoons white sugar', '3 tablespoons all-purpose flour', '2 teaspoons unsweetened cocoa powder', '1 pinch salt', '1 tablespoon powdered sugar, or to taste']","['Step 1: Place butter and chocolate in the top of a double boiler over simmering water.\n', 'Step 2: Stir frequently, scraping down the sides with a rubber spatula to avoid scorching, until chocolate is melted, about 5 minutes.\n', 'Step 3: Meanwhile, combine eggs and egg yolk in a bowl.\n', 'Step 4: Add sugar and whisk until mixture is light yellow in color and sugar is dissolved, about 3 minutes.\n', 'Step 5: Pour some of the warm chocolate mixture into the egg mixture, whisking quickly to avoid scrambling the eggs.\n', 'Step 6: Add remaining chocolate and whisk until combined and smooth.\n', 'Step 7: Sift in flour, cocoa powder, and salt; fold in with a spatula until combined.\n', 'Step 8: Butter four 5-ounce ramekins and dust with cocoa powder.\n', 'Step 9: Spoon batter into the prepared ramekins, tapping gently to settle any air bubbles.\n', 'Step 10: Place in the refrigerator for 30 minutes.\n', 'Step 11: Preheat the oven to 425 degrees F (220 degrees C).\n', 'Step 12: Place ramekins in a baking dish and bake until edges start to pull away from the sides, 13 to 15 minutes.\n', 'Step 13: Remove from the oven and dust with powdered sugar.\n', 'Step 14: Serve warm.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '370.6 calories', 'carbohydrateContent': '31.3 g', 'cholesterolContent': '172.5 mg', 'fatContent': '25.9 g', 'fiberContent': '2.1 g', 'proteinContent': '5.7 g', 'saturatedFatContent': '11.6 g', 'sodiumContent': '175.6 mg', 'sugarContent': '23.2 g'}",allrecipes.com
Magrets de Canard aux Pommes (Duck Breasts with Calvados Apple Sauce),35.0,4 serving(s),"['4 duck breast halves', '1 ½ tablespoons butter', '4 firm apples, sliced', '1 cup Calvados (apple brandy)']","['Step 1: Place duck breasts skin-side down in a nonstick skillet over high heat; cook for 2 minutes.\n', 'Step 2: Reduce heat to low; cook until golden brown, about 5 minutes per side.\n', 'Step 3: Melt butter in a separate skillet over high heat.\n', 'Step 4: Add apples; cook and stir until golden brown, 2 to 3 minutes.\n', 'Step 5: Reduce heat to low; cook until tender, about 10 minutes.\n', 'Step 6: Remove skillet from heat; pour in Calvados.\n', 'Step 7: Cook and stir over low heat, scraping up browned bits from the bottom of the skillet, until alcohol evaporates, about 1 minute.\n', 'Step 8: Serve duck breasts with Calvados sauce.\n']",https://www.allrecipes.com/img/misc/og-default.png,"{'calories': '403.4 calories', 'carbohydrateContent': '23 g', 'cholesterolContent': '117.2 mg', 'fatContent': '13 g', 'fiberContent': '3.3 g', 'proteinContent': '19.5 g', 'saturatedFatContent': '5 g', 'sodiumContent': '97.4 mg', 'sugarContent': '18.3 g'}",allrecipes.com
